Export;EXP-2023-01 (20230707 04:39);;;StationsCode;NL01483;NL01485;NL01486;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL01908;NL10107;NL10131;NL10133;NL10136;NL10137;NL10138;NL10227;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10245;NL10246;NL10247;NL10301;NL10318;NL10404;NL10411;NL10418;NL10433;NL10437;NL10442;NL10444;NL10445;NL10446;NL10520;NL10537;NL10538;NL10547;NL10548;NL10549;NL10631;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938;NL49002;NL49003;NL49007;NL49012;NL49014;NL49017;NL49019;NL49020;NL49021;NL49022;NL49546;NL49551;NL49553;NL49561;NL49564;NL49565;NL49701;NL49703;NL49704;NL53001;NL53004;NL53015;NL53016
NO2;uur;µg/m³;20130101 18:00;20130101 19:00;31.1;12.5;41.7;53.2;39.9;51.9;38.7;33.7;19.4;21.7;6.9;;21.56;8.23;17.96;;21.27;;15.19;7.86;19.05;28.53;43.26;20.04;15.7;14.97;5.71;13.46;1.84;10.81;8.09;19.8;31.73;14.77;4.46;14.94;2.55;28.68;10.74;21.12;17.17;4.26;17.47;15.38;14.46;10.49;7.01;38.24;31.98;24.16;;14.9;6.12;10.19;36.94;24.35;7.6;6;3.97;5.67;9.2;29.73;16.39;86;15;23;18;20;;22;37;22;7;16;10;7.5;9.5;3;10;6;5;11;14.6;;;
NO2;uur;µg/m³;20130101 19:00;20130101 20:00;37.8;41.1;32.5;59.4;34.8;48.6;43.5;32.5;23.6;34.5;16.7;;22.04;11.85;18;;18.12;;20.87;12.11;27.01;29.48;39.78;22.26;24.93;13.06;5.26;18.56;2.12;14.44;8.87;17.65;26.05;18.66;4.93;13.99;3.07;28.83;10.09;17.97;16.3;4.58;16.86;15.1;13.81;10.66;4.63;39.94;31.93;20.78;;11.49;9.77;12.91;35.22;19.37;7.17;6.61;4.06;6.5;9.26;27.27;14.21;77;13;22;17;20;;20;32;15;7;13;12;6.5;9.5;4;9;7;5;7;22.8;;;
NO2;uur;µg/m³;20130101 20:00;20130101 21:00;26.8;13;41.1;60;49.1;52.1;43.6;32.7;21.3;21.1;11.5;;19.74;17.28;14.77;;18.04;;17.28;15.6;16.21;33.5;34.06;23.35;21.03;10.97;8.46;24.62;2.87;12.86;9.36;17.56;29.56;13.72;4.74;19.71;3.06;18.95;14.39;17.08;14.87;4.43;13.21;13.38;11.52;10.81;4.77;28.1;31.22;19.6;;10.52;11.87;11.42;26.65;18.85;8.34;8.96;3.89;7.15;7.23;25.49;9.15;71;12;21;;20;28;21;28;15;6;13;14;5;11.5;4;8;5;5;8;16.6;;;
NO2;uur;µg/m³;20130101 21:00;20130101 22:00;26.6;15.4;35.1;53.4;33.6;41.5;30.6;21.7;16.3;25.2;12.9;;15.29;18.73;14.87;;23.31;;16.65;18.89;16.36;32.86;31.88;18.97;24.6;12.55;4.6;22.97;2.26;8.76;7.87;11.2;19.56;11.33;4.14;15.2;3.29;25.05;13.27;11.73;12.19;4.44;12.62;11.74;11.33;10.46;5.13;29.46;28.56;18.76;;17.59;10.93;12.5;25.25;16.43;12.03;8.36;3.69;8.86;6.59;;8.76;42;9;16;12;15;18;17;17;15;5;11;10;5;6;4;8;5;5;8;20.6;;;
NO2;uur;µg/m³;20130101 22:00;20130101 23:00;21.9;16.6;33;45.3;27.5;36.5;24.2;23.2;22.2;39.3;23.5;;14.6;19;20.55;;29.62;;19.6;21.31;19.42;31.46;31.15;17.3;21.1;9.45;4.32;20.5;2.5;10.57;10.46;12.08;21.63;14.12;4.27;13.48;3.9;22.1;7.06;14.47;10.75;3.65;10.13;11.92;9.45;8.7;4.94;24.36;21.78;10.85;;10.2;7.15;12.84;20.95;16.24;12.83;5.39;3.68;8.99;6.87;15.12;7.68;50;10;16;15;14;15;17;18;7;6;11;21;6;7;5;9;11;6;11;26.7;;;
NO2;uur;µg/m³;20130101 23:00;20130102 00:00;29.2;35.4;25.4;49;28.5;24.4;19.9;19.5;18.8;25.9;13.4;;13.93;18.92;22.44;;26.77;;20.65;21.73;27.82;29.44;27;15.75;19.19;14.29;3.89;24.4;3.37;8.76;10.33;11.4;21.46;18.08;4.14;11.22;4.01;18.84;7.5;18.28;10.36;4.28;12.36;9.09;6.46;7.76;3.92;15.55;15.04;9.57;;7.64;7.27;8.15;23.78;15.94;9.75;4.9;3.36;8.59;4.98;12.59;9.08;40;14;13;14;12;15;15;14;7;5;19;11;5;6;4;8;10;4;10;15.6;;;
NO2;uur;µg/m³;20130102 00:00;20130102 01:00;31.3;42.1;29.7;34.6;22.6;29.7;18.2;15.6;12.7;26.1;16.6;;14.51;17.68;20.32;;25.64;;;26.24;10.54;27.72;20.15;12.01;17.46;7.61;4.79;17.88;4.09;5.07;7.19;15.07;14.82;19.3;4.12;10.99;3.67;13.71;7.52;21.07;8.46;3.53;11.15;7.33;6.83;4.99;3.43;11.63;10.08;7.69;;6.6;;8.45;16.58;14.78;8.32;4.46;2.01;5.74;4.65;10.56;2.49;43;19;13;19;9;18;14;11;6;3;18;7;;6;4;7;7;4;9;16.8;;;
NO2;uur;µg/m³;20130102 01:00;20130102 02:00;33.9;51.6;48.7;43.7;25.4;28.6;21.4;20.5;18;30.4;17.8;;13.77;15.44;18.94;;20.92;;;21.7;18.16;22.42;17.73;11.15;9.88;7.13;4.08;15.67;3.84;7.45;8.8;16.87;18.74;26.89;5.47;21.98;3.35;11.48;7.23;17.6;8.83;2.51;9.46;7.14;8.09;5.75;4.5;10.67;10.87;9.92;;6.98;;6.6;17.61;12.75;7.11;3.48;1.69;3.63;5.23;8.79;2.69;39;16;13;18;11;18;16;12;8;5;22;5;;6;4;6;7;4;7;13.8;;;
NO2;uur;µg/m³;20130102 02:00;20130102 03:00;43.9;44.8;28.8;37.4;32.2;37.1;18;17;20;41;9.7;;11.98;15.81;16.61;;19.22;;;11.56;11.23;21.53;18.88;7.01;8.69;7.28;5.07;15.84;4.53;5.51;9.51;16.8;16.6;18.57;5.66;30.55;4.31;11.45;7.74;19.35;8.48;1.87;9.73;6.36;7.03;3.95;4.71;10.2;12.95;8.17;;8.28;10.12;5.49;17.05;13.73;5.96;2.48;2.49;2.19;4.04;11.66;3.1;43;18;10;20;9;13;13;8;7;4;24;6;;6;4;6;7;4;11;12.8;;;
NO2;uur;µg/m³;20130102 03:00;20130102 04:00;43.4;49.8;41.4;30.1;24.2;37.2;18.2;18.5;19.8;38.3;10.4;;11.13;15.13;14.49;;18.53;;;10.94;8.88;22.18;17.49;7.99;14.14;8.52;6.78;15.39;5.95;7.51;7.76;25.21;21.13;22.82;5.76;27.23;4.41;11.16;7.91;21.75;12.46;2.59;8.3;7.39;8.1;3.62;5.07;10.25;10.21;11.91;;8.51;8.89;5.39;15.03;13.41;5.39;2.91;1.58;2.01;4.03;8.5;2.29;51;22;11;23;11;16;12;11;7;5;18;9;;7;5;7;8;5;7;14.4;;;
NO2;uur;µg/m³;20130102 04:00;20130102 05:00;40.3;49.8;38.9;37.8;23.8;52.2;31.7;22.7;21.8;32.9;7.3;;10.45;16.03;16.5;;18.21;;;12.98;7.08;22.65;17.63;11.92;16.71;6.65;6.28;18;5.49;5.03;8.55;43.4;21.73;22.9;8.07;39.86;4.12;19.01;9.83;20.54;13.49;2.09;10.8;9.79;8.49;3.79;5.35;13.4;12.25;17.19;;9.62;7.62;6.59;18.7;14.37;5.91;1.67;1.28;1.86;3.96;10.59;2.65;67;18;17;20;12;16;14;23;8;6;19;6;;8;5;12;10;5;11;9.6;;;
NO2;uur;µg/m³;20130102 05:00;20130102 06:00;41.7;51.3;51.6;56;35.6;68.2;59.7;38.7;29.8;28.4;29;;11.8;15.69;16.4;;17.83;;;15.44;9.53;26.86;26.7;17.88;26.77;17.54;10.23;21.67;6.49;5.46;10.47;50.53;30.17;26.23;12.49;40.99;4.21;19.64;14.76;29.53;15.92;1.86;16.87;13.43;13.3;5.18;5.15;18.38;19.65;19.94;;9.77;9.95;7.28;26.92;17.08;5.49;2.1;1.59;1.81;4.13;18.26;3.16;90;25;23;26;18;20;18;26;10;7;28;5;;12.5;5;21;9;8;19;15.5;;;
NO2;uur;µg/m³;20130102 06:00;20130102 07:00;40.5;55;60.6;66.4;41.6;86.6;77.6;54.8;39.9;37.8;20.3;;13.79;18.04;15.94;;22.61;;;16.85;14.55;33.33;39.45;36.92;45.69;18.95;20.04;28.51;5.02;6.12;11.98;36.23;35.52;39.89;14.1;48.45;4.77;22.68;22.38;36.09;19.89;3.69;26.79;25.73;18.31;4.06;7.43;37.16;38.78;40.31;;13.26;8.2;8.87;32.58;22.17;6.16;4.19;1.6;1.73;4.16;21.77;4.37;55;25;40;35;25;29;27;44;16;13;27;;;14.5;5;27;10;8;12;21.1;;;
NO2;uur;µg/m³;20130102 07:00;20130102 08:00;38;57.3;66.7;79.6;59.9;95.6;91.2;69.9;58;47.4;25.1;;17.54;23.53;21.68;;27.67;;;23.91;31.48;34.26;54.8;61.75;60.04;28.14;38.2;22.33;5.48;8.12;15.99;56.66;53.87;66.3;30.58;53.85;3.65;35.35;33.18;51.27;35.62;5.19;40.76;34.19;26.75;5.36;17.99;55.35;57.49;54.95;;19.27;9.56;12.41;50.23;31.51;9.53;6.54;2.01;2.27;4.82;33.37;9.43;68;37;51;46;37;41;37;60;25;19;38;12;;23.1;8;33;14;12;25;30.4;;;
NO2;uur;µg/m³;20130102 08:00;20130102 09:00;58.9;53.2;65.2;82.9;69;104.1;98.9;74.5;65.3;50.5;23.2;;20.8;30.7;23.2;;29.04;;;35.99;28.39;42.7;57.86;59.1;62.66;41.52;40.82;26.15;4.3;15.33;19.39;;63.37;69.97;35.75;62.84;3.14;44.66;45.73;;45.6;8.04;48.6;;40;6.81;20.56;69.8;60.21;57.83;;32.85;12.57;20.59;54.08;42.21;11.29;11.51;2.9;3.25;6.34;24.72;11.33;84;42;64;46;53;58;48;71;43;30;43;;;33.1;10;39;36;17;18;34.9;;;
NO2;uur;µg/m³;20130102 09:00;20130102 10:00;76.1;28.4;59.7;80;68.1;89.3;96.3;68.2;64.1;46;22.5;;21.28;33.85;22.89;;31.2;;;36.9;36.38;44.19;50.7;52.08;56.9;33.86;30.66;34.53;4.77;17.96;23.46;;64.25;60.87;21.68;58.7;3.02;45.41;55.29;;46.26;9.65;45.74;;45.41;12.31;32;72.13;56.07;50.94;;39.3;16.86;27.85;54.53;43.54;10.73;8.35;3.66;4.4;5.95;32.45;10.98;92;37;72;50;54;67;49;80;50;30;36;46;;30.1;9;37;31;20;17;34.1;;;
NO2;uur;µg/m³;20130102 10:00;20130102 11:00;69.8;28.5;49.6;67.3;59.6;72.7;87.7;54.6;46.7;33.7;14.9;;20.4;29.66;23.57;;33.44;;;35.31;29.24;43.95;47.81;42.02;42.77;41.39;27.84;28.63;6.06;18.83;18.7;;55.31;45.22;15.72;39.1;6.89;46.59;45.17;;37.55;7.27;40.25;;39.81;28.55;57.76;61.43;59.78;62.28;;45;20.72;26.53;50.06;34.84;12.49;8.75;4.56;4.56;6.7;32.6;12.37;110;37;60;54;39;67;44;80;51;21;38;54;;35.2;9.5;37;17;12;20;25.7;;;
NO2;uur;µg/m³;20130102 11:00;20130102 12:00;72.7;19;33;56.9;42.3;63;68;42.8;27.1;16.9;24.3;;20.6;28.57;23.93;;29.78;;;34.44;22.42;43.66;45.07;36.11;36.75;38.51;21.96;28.47;5.74;19.08;12.7;;55.26;28.45;9.69;24.81;4.92;41.76;35.75;;31.07;6.58;43.73;;30.37;28.74;48.48;54.78;52.97;60.61;;40.06;23.82;23.34;49.51;34.62;15.12;9.57;5.26;4.26;5.25;30.54;11.57;80;28;38;44;26;47;29;70;39;11;33;45;;25.6;8.5;27;13;9;16;24.8;;;
NO2;uur;µg/m³;20130102 12:00;20130102 13:00;73.5;16.4;26.6;46.1;29.1;60.9;51.8;42.6;22.4;19.8;28.5;;22.42;29.24;28.52;;33.53;;;32.3;16.75;42.94;39.96;36.29;36.92;22.94;14.91;27.64;4.44;21.26;12.52;;44.61;23.99;9.76;19.93;4.11;38.06;31.01;;24.45;5.55;37.08;;27.43;25.66;20.87;42.01;48.9;35.24;;33.47;26.03;23.56;46.31;32.28;16.2;9.56;6.41;3.98;6.78;25.06;11.24;77;14;31;26;18;40;22;57;24;7;28;32;;17.6;5;15;15;7;17;20.7;;;
NO2;uur;µg/m³;20130102 13:00;20130102 14:00;67.2;14.7;23;36.3;26.8;54.9;50.1;43.5;38.3;15.3;30.9;;19.36;27.7;29.03;;31.2;;;37.72;19.51;43.83;45.19;31.41;28.82;26.98;17.92;23.36;6.81;15.44;14.36;;32.24;33.54;7.6;17.41;7.59;33.37;30.46;;28.19;6.43;28.14;;18.49;21.53;14.67;34.08;37.61;32.2;;20.3;25.98;28.65;48.11;30.79;15.53;12.23;4.69;4.28;7.57;23.22;8.42;68;14;29;25;17;35;19;51;15;7;24;27;;15.1;8.5;14;13;8;14;23.6;;;
NO2;uur;µg/m³;20130102 14:00;20130102 15:00;75.2;15.7;26.1;41.2;27.4;55;50.7;50.2;25.9;25.4;30.6;;21.31;20.52;26.19;;25.52;;;36.33;23.92;42.81;44;27.22;28.65;16.37;13.43;22.6;7.78;15.91;18.18;;40.16;30.08;9.59;16.8;7.21;45.62;23.75;;30.65;4.9;29.02;;18.78;15.05;20.18;26.75;45.3;36.83;;17.41;25.5;31.29;52.89;34.6;16.09;13.38;6.26;4.57;7.21;28.06;12.12;74;23;30;29;19;40;25;57;16;11;25;29;;19.6;10.5;16;19;12;19;25.7;;;
NO2;uur;µg/m³;20130102 15:00;20130102 16:00;73.2;22.2;;34.6;24;59.6;61.5;41;43.4;25.6;44.7;;23.76;23.86;26.21;;26.37;;;34.12;23.71;45.37;48.81;34.72;34.39;35.61;20.06;29.56;12.9;17.2;25.76;;46.2;38.64;16.89;21.3;7.05;52.33;42.48;;35.99;6.42;33.36;;24.81;11.7;22.72;29.96;39.55;36.02;;15.62;26.45;16.26;50.53;29.58;20.52;12.63;5.29;6.24;9.45;29.53;10.98;73;25;34;31;19;42;25;57;20;12;31;30;;18.1;10;19;24;14;21;22.8;;;
NO2;uur;µg/m³;20130102 16:00;20130102 17:00;79.7;20.7;28.4;40;28.8;61.8;57.8;51.5;47.2;26.3;51.3;;27.47;30.5;22.53;;27.54;;;34.61;22.43;47.21;48.09;42.35;34.96;38.28;25.23;39.8;16.57;20.5;26.84;;42.89;42.41;19.1;28.95;14.29;50.51;39.2;;33.42;7.68;43.8;;32.5;14.68;27.2;42.1;43.68;53.9;;19.47;28.55;17.72;52.6;31.2;31.03;13.71;7.24;9.9;11.85;38.28;19.48;74;30;32;37;23;42;28;59;22;15;36;42;;;14;24;26;18;25;23.4;;;
NO2;uur;µg/m³;20130102 17:00;20130102 18:00;69.2;25.2;30.6;41.1;32.1;63.4;66.7;53.8;49.9;30.4;49.3;;28.67;29.46;35.37;;30.12;;;31.91;26.82;47.1;50.84;40.31;34.82;40.66;33.84;38.51;23.29;23.97;30.65;;46.69;50.76;24.3;38.42;17.79;51.41;55.35;;30.32;10.27;42.1;;34.67;16.56;35.99;43.94;40.46;59.75;;20.51;27.88;18.67;48.83;40.18;32;15.48;8.77;17.85;10.03;52.68;19.1;71;33;39;36;28;45;36;70;38;18;35;39;;26.6;17;32;20;16;27;34.6;;;
NO2;uur;µg/m³;20130102 18:00;20130102 19:00;50.2;28.1;31.8;37;33.4;55;63.6;55;50.3;29.3;36.8;;30.82;27.79;32.68;;19.69;;;33.19;33;47.82;46.81;33.12;31.57;44.79;28.4;38.08;29.24;23.91;40.49;;51.77;49.28;31.32;36.06;20.47;53.28;48.22;;35.95;10.17;39.25;;38.28;24.01;29.15;42.64;43.68;55.31;;23.49;29.84;20.85;44.6;39.44;26.04;15.38;9.64;16.35;11.6;44.68;18.18;65;36;41;41;;54;42;66;38;24;39;36;;25.5;20;30;29;20;23;54.8;;;
NO2;uur;µg/m³;20130102 19:00;20130102 20:00;42.2;30.4;32.8;37.1;34.3;54.9;52.5;49.2;43.8;33.5;20.8;;25.19;28.21;25.69;;15.55;;;38.14;39.46;46.82;44.46;47.74;47.61;43.36;26.69;39.31;20.57;25.15;24.23;;50.51;39.45;29.16;36.53;17.09;34.72;32.88;;25.74;11.56;34.08;;32.34;28.85;32.71;37.93;37.41;46.01;;28.03;28.29;25.52;42.69;38.06;19.75;20.16;10.55;19.29;12.24;35.14;15.53;59;38;37;36;38;52;45;48;38;24;39;24;;26.5;20;27;25;17;25;48.5;;;
NO2;uur;µg/m³;20130102 20:00;20130102 21:00;29.7;20.2;21.2;25.2;22.8;47.2;37.5;41.6;30.5;33.6;20.3;;23.76;31.72;16.71;;11.72;;;33.26;32.2;47.38;43.84;47.38;47.08;37.4;25.03;39.15;16.55;21.75;25.91;;45.75;26.32;20;27.4;16.65;35.05;28.46;;21.12;13.1;29.8;;28.59;25.9;28.39;34.27;35.94;38.64;;23.79;26.48;29.34;40.52;36.32;21.51;24.84;12.97;23.59;12.84;32.47;18.68;62;26;36;42;28;34;33;46;24;20;30;13;;34.5;16;17;19;;;39.6;;;
NO2;uur;µg/m³;20130102 21:00;20130102 22:00;24.6;16.3;17.6;27.2;22.8;39;35.8;39.1;25.8;28.1;21.6;;22.8;26.8;10.19;;10.24;;;24.55;25.86;43.81;40.92;30.69;30.45;34.08;24.12;35.44;11.64;23.08;23.36;;45.84;24.22;20.09;29.29;15.11;33.18;21.68;;22.99;10.02;22.81;;21.65;20.15;17.47;26.05;25.41;27.22;;18.77;23.36;32.66;37.26;32.87;23.13;23.72;11.44;16.75;13.74;28.42;16.68;47;22;37;32;23;28;26;42;26;24;34;14;;35.5;22;17;25;17;21;39.3;;;
NO2;uur;µg/m³;20130102 22:00;20130102 23:00;22.1;17.8;16.9;24.1;21.3;30.8;32.4;33.6;27.2;21.8;22.2;;20.81;21.36;11.86;;9.15;;;12.57;22.14;36.9;31.71;19.17;24.48;21.37;14.66;26.32;9.89;13.81;23.69;;34.9;23.42;16.84;31.38;16.52;29.32;20.77;;20.95;10.63;18.77;;18.03;14.71;16.6;26.08;25.47;22.77;;21.56;24.33;31.73;32.81;28.87;26.27;15.47;14.79;15.1;14.46;27.51;19.79;45;21;30;32;20;28;24;36;22;20;31;14;;33.5;20;17;26;17;21;36.7;;;
NO2;uur;µg/m³;20130102 23:00;20130103 00:00;18.2;13.8;13.2;18.7;18.1;24.7;37.1;31.4;40.2;25.5;27.2;;15.7;16.51;8.42;;8.43;;;10.78;16.72;25.94;19.55;17.63;20.37;26.96;11.22;16.87;10.78;11.38;24.17;;25.03;31.9;15.56;16.52;16.28;29.18;21.9;;17.9;11.95;20.46;;19.37;15.17;19.55;24.97;21.78;19.86;;17.11;21.33;22.75;25.59;22.06;23.55;13.24;12.93;15.31;12.87;24.49;15.02;40;19;28;30;19;26;22;34;19;19;25;11;;32.5;17;13;20;15;17;32;;;
NO2;uur;µg/m³;20130103 00:00;20130103 01:00;16.1;12;11.5;14.1;14.2;19.4;42.8;30.8;47.5;25.3;24.4;;13.42;10.2;10.01;;7.07;;;6.01;20.4;17.04;13.11;14.76;18.79;24.47;12.45;10.65;8.11;9.79;23.51;;25.42;45.49;11.84;15.37;12.14;24.41;19.1;;13.49;11.96;15.03;;15.07;15.53;21.19;17.18;16.38;;;12.8;14.99;12.82;16.48;14.6;17.47;14.21;11.25;13.42;14.54;23.06;15.43;41;19;27;28;20;24;21;29;15;18;30;12;;29.5;15;14;17;11;15;27.5;;;
NO2;uur;µg/m³;20130103 01:00;20130103 02:00;12.6;10;9.3;11.9;10.8;15.6;41.8;24.8;46;24.8;35;;12.93;7.98;11.89;;8.3;;;5.69;21.61;14.32;9.61;16.59;17.52;25.9;13.62;8.72;7.19;9.23;25.54;;23.98;44.3;10.25;14.83;14.78;25.79;21.62;;17.97;13.8;12.64;;13.14;12.98;20.65;13.26;13.03;16.9;;12.03;11.26;11.59;12.65;11.62;12.78;12.98;12.4;15.8;14.49;16.21;13.85;37;22;18;22;21;23;23;24;13;14;33;18;;16;13;15;22;15;18;25.2;;;
NO2;uur;µg/m³;20130103 02:00;20130103 03:00;15.4;10;10.7;12.6;12.5;13.8;28;31;33.7;16.3;39.1;;12.92;6.99;12.46;;10.38;;;4.92;28.87;15.49;8.8;18.64;17.69;24.66;14.75;8.19;13.46;8.72;19.76;;27.74;33;8.98;13.88;13.27;23.62;23.05;;18.6;15.26;11.05;;11.37;11.59;19.32;12.79;11.95;19.89;;11.63;7.87;10.62;9.91;9.78;11.32;11.55;14.92;14.42;14.03;14;12.61;27;26;16;18;18;20;21;20;15;14;27;34;;17.5;14;15;24;18;23;28.9;;;
NO2;uur;µg/m³;20130103 03:00;20130103 04:00;17.8;14;13.3;12.4;13.1;18.5;34.8;45.5;35.7;19.9;35.3;;12.23;6.64;16.07;;13.67;;;4.66;12.83;12.75;8.63;16.29;16.95;19.48;11.07;7.4;16.26;7.66;21.15;;27.59;41.7;8.74;14.74;20.96;22.89;31.49;;16.59;16.14;17.16;;14.83;13.32;17.32;12.88;11.14;17.12;;10.77;6.45;11.71;10.39;9.03;10.49;12.67;13.76;11.12;15.12;14.56;14.97;31;19;16;16;17;18;17;21;14;15;27;36;;19.5;16;16;22;16;21;29.8;;;
NO2;uur;µg/m³;20130103 04:00;20130103 05:00;25;13.3;16.4;27.7;30.7;29.9;30.2;49;45.9;17.3;41.7;;11.42;7.48;20.2;;13.82;;;4.92;13.2;14.62;8.26;13.68;14.96;24.01;15.61;7;10.36;7.21;23.4;;27.85;44.26;11.77;14.84;21.51;26.57;38.77;;19.52;14.31;16.92;;16.82;13.74;20.65;17.07;13.03;22.4;;11.66;6.96;12.14;12.06;9.74;10.25;15.14;13.45;11.71;15.07;14.1;12.13;27;20;18;18;20;19;20;36;15;17;28;22;;24.1;19;19;21;17;21;37.8;;;
NO2;uur;µg/m³;20130103 05:00;20130103 06:00;45.6;18.3;27.2;39.8;40.7;35.4;37.6;47.9;42.1;18.8;38.7;;12.03;8.24;20.13;;12.55;;;7.37;18.04;14.47;12.34;13.98;17.28;33.27;18.32;6.36;16.42;6.9;22.01;;37.26;39.13;14.03;15.84;23.35;25.22;39.77;;21.29;11.7;20.51;;18.61;13.08;27.01;23.56;22.79;23.94;;14.89;8.4;12.15;15.45;12.11;11.1;17.18;11.83;12.39;12.67;12.54;10.95;30;25;24;21;22;24;22;38;18;18;34;21;;24.1;18;;22;19;22;21.6;;;
NO2;uur;µg/m³;20130103 06:00;20130103 07:00;69.1;18.2;30.5;37.9;37.5;49.8;46.8;49.1;36.9;20.4;37.7;;13.95;10.75;19.39;;12.52;;;12.27;11.71;18.68;21.11;22.08;22.14;34.74;18.97;8.04;15.09;7.19;30.66;;42.4;30.3;13.93;20.24;20.49;36.71;39.6;;21.35;10.73;25.91;;20.76;15.57;24.78;28.29;33.84;36.36;;23.35;9.65;14.01;26.61;17.74;12.1;14.31;10.29;11.77;15.09;15.45;11.92;41;30;27;24;22;28;24;47;19;19;31;20;;26.6;17;;21;17;19;14.2;;;
NO2;uur;µg/m³;20130103 07:00;20130103 08:00;61;22.2;31.3;40.2;36.2;53.9;59.7;52.3;49.7;22.4;42.3;;16.49;13.72;20.84;;15.1;;;19.53;15.37;23.33;35.66;34.34;30.57;32.75;17.7;10.41;17.4;8.02;24.89;;47.83;53.69;21.55;25.15;16.16;35.33;52.3;;31.77;9.54;28.89;;22.07;17.44;35.45;30.93;40.83;43.24;;26.35;12.28;19.64;38.47;24.02;13.58;15.88;9.78;10.92;14.42;18.39;14.51;47;30;30;27;;41;27;50;23;17;35;16;;28.1;15;;24;;28;19.1;;;
NO2;uur;µg/m³;20130103 08:00;20130103 09:00;69.4;26.5;34.4;45.3;38.3;61.8;63.3;59.4;50.1;24.8;47.2;;15.48;18.72;23.2;;18.22;;;22.05;15.61;28.73;37.06;38.19;33.49;43.09;24.89;16.39;20.25;9.99;25.44;;49.58;52.17;21.46;25.77;20.47;40.27;58.65;;33.92;10.38;37.92;;26.82;18.6;37.1;39.35;43.93;45.99;;28.79;15.73;23.3;42.36;28.73;16.32;16.06;8.8;11.93;16.77;24.57;14.2;55;29;35;31;29;40;30;46;;20;36;23;18.5;30.1;19;;26;21;25;32.1;;;
NO2;uur;µg/m³;20130103 09:00;20130103 10:00;67.3;26.5;39.1;55.3;46.9;56.2;57.4;54.6;51.1;26.8;51.4;;16.54;21.22;22.72;;17.55;;;25.59;15.2;30.29;35.61;28.46;29.94;43.38;24.61;17.33;20.82;12.88;26.58;;53.37;49.63;25.11;33.29;18.76;42.04;57.49;;35.64;9.32;36.32;;26.48;19.76;37.65;44.75;43.05;50.06;;30.13;18.92;24.52;44.48;29.91;17.45;16.46;8.63;11.27;16.79;30.23;13.66;64;33;35;37;29;41;32;56;;19;41;23;19.1;29.1;17;;28;18;;26.1;;;
NO2;uur;µg/m³;20130103 10:00;20130103 11:00;71.9;29.4;40.2;53.1;46.5;57.7;58.1;55.8;50.9;32.7;44.8;;18.27;21.99;21.51;;19.15;;;26.26;18.51;31.15;34.58;38.21;36.02;41.69;27.66;18.92;20.22;13.98;25.56;;53.19;54.61;24.46;35.41;15.29;42.16;47.26;;25.97;7.91;35.18;;24.43;18.02;30.32;43.02;43.4;42.66;;31.87;20.62;28.76;36.6;30.77;16.23;15.15;8.47;10.51;14.3;25.64;14.46;60;25;32;29;26;38;28;53;;16;32;27;10.5;;16.5;;19;16;18;24.1;;;
NO2;uur;µg/m³;20130103 11:00;20130103 12:00;66.6;28.1;36.9;47.3;42.5;59;61.6;57.9;48.7;31.9;42.3;;19.05;23.48;24.11;;27.07;;;24.84;18.62;36.65;44.6;33.4;36.63;43.85;31.02;25.43;14.99;14.9;23.12;;53.04;47.86;25.39;33.81;11.99;44.77;40;;28.63;8.66;30.86;;18.26;15.73;18.22;45.88;41.15;31.56;;35.75;20.13;27.38;40.73;30.71;16.4;13.19;7.81;9.22;12.77;21.67;12.35;67;18;31;28;22;35;23;41;;13;27;24;14.1;;12.5;;12;12;16;22.5;;;
NO2;uur;µg/m³;20130103 12:00;20130103 13:00;67.8;30.8;45.1;52.4;44;57.4;55.1;54.3;45.6;27.6;35.3;;20.01;26.7;18.06;;26.32;;;25.55;24.33;40.07;47.25;40.13;37.17;34.37;27.98;30.13;15.92;16.25;20.4;;52.34;32.18;21.98;32.25;11.94;47.87;33.7;;23.8;7.76;28.1;;19.06;14.87;12.84;53.34;41.73;29.66;;34.35;20.07;29.37;39.28;32.62;14.37;11.07;7.12;8.9;12.92;16.83;11.81;63;18;33;29;26;38;23;;;12;25;24;16.1;;10.5;;14;11;12;25.9;;;
NO2;uur;µg/m³;20130103 13:00;20130103 14:00;76.1;29.5;47.9;61.9;52.5;64.5;53.8;44;32.2;;38.7;;24.19;28.23;21.02;37.63;29.18;;;22.29;27.67;44.92;46.1;47.05;38.38;31.59;19.38;31.19;14.77;18.32;20.3;;55.05;34.52;19.66;30.86;15.21;41.65;32.86;;27.54;9.27;32.48;;20.21;13.15;15.9;53.49;45.2;31.99;;35.77;18.33;20.01;41.77;35.86;11.04;9.83;7.52;8.54;12.34;16.59;11.3;76;18;35;29;26;34;24;53;;;30;30;14.1;;14.5;;14;13;13;32.1;;;
